Player,Match,Ing,Overs,Run,Wickets,Highest,Maidens,Avg,Econ,SR
Megh Shah,4,4,6,31,4,2,3,7.75,5.17,9
Haardam Doshi,5,5,7,51,4,2,0,12.75,7.29,10.5
Vansh Agrawal,3,3,2.4,24,4,2,0,6,9,4
Jayrajsinh Dodiya,5,5,8,79,4,2,1,19.75,9.88,12
Shah Dev,4,4,7,57,3,1,1,19,8.14,14
Jatan Agrawal,5,4,3.5,44,3,2,0,14.67,11.48,7.67
Nayul Doshi,5,3,3.3,58,3,2,0,19.33,16.57,7
Harsh,4,3,3,28,2,1,0,14,9.33,9
Darsh Sondarwa,4,4,4,46,2,2,0,23,11.5,12
Dollar Shah,4,4,3.3,48,2,1,0,24,13.71,10.5
Yash Agrawal,3,3,3.4,64,2,1,0,32,17.45,11
Parth Gandhi,4,4,6.2,46,1,1,1,46,7.26,38
Nisarg,4,4,4,41,1,1,0,41,10.25,24
Tarang Sachdev,4,2,2,46,1,1,0,46,23,12
Yash Oza,4,3,3,27,0,0,0,0,9,0
Suresh Dave,3,1,1,9,0,0,0,0,9,0
Prince Jobanputra,4,1,1,10,0,0,0,0,10,0
Sagar Thakkar,4,3,2.5,29,0,0,0,0,10.24,0
Khushal Tank,3,2,3,33,0,0,0,0,11,0
Rushabh,3,1,1,12,0,0,0,0,12,0
Kirtan Patel,5,2,2,31,0,0,0,0,15.5,0
Jinang,3,1,1,25,0,0,0,0,25,0
Karan Bhatt,4,1,1,25,0,0,0,0,25,0
Meet Shah,5,1,1,27,0,0,0,0,27,0
