Rank,Player,Match,Ing,Overs,Run,Wickets,Highest,Maidens,Avg,Econ,SR
1,Haardam Doshi,4,4,5,67,3,1,0,22.33,13.4,10
2,Malhar Shah,3,3,3,25,2,2,0,12.5,8.33,9
3,Harsh,3,3,4,40,2,1,0,20,10,12
4,Parth Gandhi,4,4,5,52,2,1,0,26,10.4,15
5,Purva (Puri),3,3,3,36,2,1,0,18,12,9
6,Rushang,3,2,2,34,2,2,0,17,17,6
7,Jatan Agrawal,2,2,2,19,1,1,0,19,9.5,12
8,Darsh Sondarwa,3,3,3,31,1,1,1,31,10.33,18
9,Jayraj,3,3,3,33,1,1,0,33,11,18
10,Shah Dev,3,3,4,44,1,1,0,44,11,24
11,Rushabh,2,2,2,26,1,1,0,26,13,12
12,Vansh Agrawal,2,2,2,27,1,1,0,27,13.5,12
13,Megh Shah,3,3,3,52,1,1,0,52,17.33,18
14,Kirtan,4,4,4,38,0,0,0,0,9.5,0
15,Binod,3,2,2,19,0,0,0,0,9.5,0
16,Rushil Khatri,3,3,3,35,0,0,0,0,11.67,0
17,Sagar Thakkar,4,4,4,48,0,0,0,0,12,0
18,Nisarg,2,2,2,24,0,0,0,0,12,0
19,Yash Agrawal,2,2,2,25,0,0,0,0,12.5,0
20,Prince Jobanputra,3,3,3,40,0,0,0,0,13.33,0
21,Chirag Desai,2,2,2,27,0,0,0,0,13.5,0
22,Kush Daxini,4,4,4,58,0,0,0,0,14.5,0
23,Kavan,3,3,2.1,34,0,0,0,0,15.69,0
24,Own Teerth,2,2,2,34,0,0,0,0,17,0
25,Jinang,3,3,3,52,0,0,0,0,17.33,0
