Player,Match,Ing,Overs,Run,Wickets,Highest,Maidens,Avg,Econ,SR
Shah Dev,3,3,5.4,33,7,3,0,4.71,5.82,4.86
Haardam Doshi,4,4,7,45,5,3,2,9,6.43,8.4
Malhar Shah,3,3,2.4,21,4,3,0,5.25,7.88,4
Sagar Thakkar,3,3,3.5,44,4,2,0,11,11.48,5.75
Megh Shah,3,3,2.2,8,2,1,0,4,3.43,7
Yash Agrawal,4,4,6,53,2,1,1,26.5,8.83,18
Khushal Tank,4,4,4,37,2,1,0,18.5,9.25,12
Jayraj,3,3,3,30,2,2,0,15,10,9
Jaydip Pandya,3,3,3,47,2,1,0,23.5,15.67,9
Kunal Kaka,4,4,2.4,58,2,1,0,29,21.75,8
Dev Dave,3,2,2,18,1,1,0,18,9,12
Prince Jobanputra,2,2,2.1,22,1,1,0,22,10.15,13
Harsh,3,3,3,32,1,1,1,32,10.67,18
Kavan,2,1,1,13,1,1,0,13,13,6
Darsh Sondarwa,3,3,3,48,1,1,0,48,16,18
Naitik,2,1,1,6,0,0,0,0,6,0
Nisarg,4,4,4,26,0,0,0,0,6.5,0
Parth Gandhi,3,3,6,69,0,0,0,0,11.5,0
Jinang,2,2,3,35,0,0,0,0,11.67,0
Rushang,4,4,4,55,0,0,0,0,13.75,0
Kirtan Patel,2,2,2,34,0,0,0,0,17,0
Vansh Agrawal,2,2,2,39,0,0,0,0,19.5,0
Rushil Khatri,2,2,2,40,0,0,0,0,20,0
Vishwaraj Sinh Jhala,3,1,1,27,0,0,0,0,27,0
