Rank,Player,Match,Ing,Overs,Run,Wickets,Highest,Maidens,Avg,Econ,SR
1,Rushi Patel,3,3,3,21,2,1,0,10.5,7,9
2,Suraj 2,4,4,3.5,30,2,1,0,15,7.83,11.5
3,Devam Khatri,4,4,4,33,2,1,0,16.5,8.25,12
4,Rushil Khatri,4,4,4,34,2,1,0,17,8.5,12
6,Yash Agrawal,4,3,3,48,2,1,0,24,16,9
7,Nisarg,4,4,4,37,1,1,0,37,9.25,24
8,Parth Shah,4,4,4,44,1,1,0,44,11,24
9,Suraj 1,4,4,4,45,1,1,0,45,11.25,24
10,Parth Gandhi,3,3,3,37,1,1,0,37,12.33,18
11,Darshil Jani,3,2,2,25,1,1,0,25,12.5,12
12,Rushabh,3,3,3,39,1,1,0,39,13,18
13,Shah Dev,3,2,2,30,1,1,0,30,15,12
14,C51 Sunny,3,2,1.1,19,1,1,0,19,16.29,7
15,Sagar Thakkar,3,3,3,17,0,0,1,0,5.67,0
16,Meet Patel,4,4,4,24,0,0,0,0,6,0
17,Haardam Doshi,4,4,4,25,0,0,1,0,6.25,0
18,Harsh,4,4,4,27,0,0,0,0,6.75,0
19,Jinang,4,4,4,34,0,0,0,0,8.5,0
20,Chirag Desai,3,1,2,20,0,0,0,0,10,0
21,Darsh Sondarwa,4,4,4,40,0,0,0,0,10,0
22,Kirtan,3,2,2,24,0,0,0,0,12,0
23,Neel,3,3,3,44,0,0,0,0,14.67,0
24,Malhar Shah,3,3,4,77,0,0,0,0,19.25,0
