Rank,PlayerName,Mat,Inns,Runs,Balls,Highest,N/O,Avg,SR,4s,6s,50s,100s
1,Harsh,4,4,114,49,57,1,38,232.65,0,18,1,0
2,Rushil Khatri,4,4,114,58,53*,1,38,196.55,2,17,1,0
3,Parth Gandhi,3,3,95,52,48*,3,-,182.69,1,14,0,0
4,Rushi Patel,3,3,81,56,35*,2,81,144.64,3,11,0,0
5,Devam Khatri,4,4,74,51,31,2,37,145.1,2,10,0,0
6,Nisarg,4,4,60,45,32,2,30,133.33,2,8,0,0
7,Darshil Jani,3,3,37,34,22,1,18.5,108.82,1,5,0,0
8,Chirag Desai,3,3,27,31,27*,2,27,87.1,0,4,0,0
9,Malhar Shah,3,2,25,16,18*,1,25,156.25,0,3,0,0
10,Haardam Doshi,4,2,21,14,14*,2,-,150,0,3,0,0
11,Rushabh,3,1,12,5,12*,1,-,240,0,2,0,0
12,Darsh Sondarwa,4,1,12,5,12*,1,-,240,0,2,0,0
13,Meet Patel,4,4,12,7,6*,3,12,171.43,0,2,0,0
14,Parth Shah,4,2,9,11,8*,2,-,81.82,0,1,0,0
15,Kirtan,3,1,8,11,8,0,8,72.73,0,1,0,0
16,C51 Sunny,3,1,8,24,8*,1,-,33.33,0,1,0,0
17,Jinang,4,4,7,22,6,0,1.75,31.82,0,1,0,0
18,Yash Agrawal,4,1,6,5,6,0,6,120,0,1,0,0
19,Suraj 2,4,1,1,1,1*,1,-,100,0,0,0,0
