Player,Match,Ing,Overs,Run,Wickets,Highest,Maidens,Avg,Econ,SR
Khushal Tank,5,5,5,38,6,3,0,6.33,7.6,5
Harsh,5,5,5,46,4,2,0,11.5,9.2,7.5
Jinang,7,7,6.5,68,4,3,0,17,9.95,10.25
Darsh Sondarwa,7,7,8,82,3,2,1,27.33,10.25,16
Deep Shah,5,5,3.5,54,3,1,0,18,14.09,7.67
Jishant,5,5,5,72,3,2,1,24,14.4,10
Nayul Doshi,5,4,4,61,3,1,0,20.33,15.25,8
Sagar Thakkar,4,3,3,16,2,1,0,8,5.33,9
Shah Dev,5,5,5,33,2,2,2,16.5,6.6,15
Parth Gandhi,7,7,7,55,2,1,0,27.5,7.86,21
Nisarg,5,5,4.2,41,2,1,0,20.5,9.46,13
Vishal Jhanwar,7,7,7,78,2,2,0,39,11.14,21
Shubham Shah,5,5,5,58,2,2,0,29,11.6,15
Yash Agrawal,5,5,5,34,1,1,1,34,6.8,30
Haardam Doshi,5,5,6,55,1,1,1,55,9.17,36
Prince Jobanputra,5,5,5,46,1,1,0,46,9.2,30
Harshil Dave,5,5,5,53,1,1,0,53,10.6,30
Jaydip Pandya,7,4,4,43,1,1,0,43,10.75,24
Vatsh Agrawal,4,2,2,29,1,1,0,29,14.5,12
Vansh Agrawal,5,5,5,73,1,1,0,73,14.6,30
Rushabh,7,6,5.2,78,1,1,0,78,14.62,32
Rushil Khatri,5,5,5,76,1,1,0,76,15.2,30
Dollar Shah,4,3,3,50,1,1,0,50,16.67,18
Vishwaraj Sinh Jhala,5,5,5,94,1,1,0,94,18.8,30
Parth,4,4,3.2,71,1,1,0,71,21.3,20
Rushabh Thakkar,5,5,5,55,0,0,0,0,11,0
Jatan Agrawal,5,5,5,69,0,0,0,0,13.8,0
Kavan,5,5,5,71,0,0,0,0,14.2,0
Jayrajsinh Dodiya,4,3,3,61,0,0,0,0,20.33,0
Om Dave,4,2,2,43,0,0,0,0,21.5,0
