Rank,PlayerName,Mat,Inns,Runs,Balls,Highest,N/O,Avg,SR,4s,6s,50s,100s
1,Harsh,4,4,190,75,72*,3,190,253.33,3,29,3,0
2,Parth Gandhi,3,3,152,58,103*,2,152,262.07,3,23,0,1
3,Rushabh Thakkar,3,3,97,39,60*,2,97,248.72,3,13,1,0
4,Darsh Sondarwa,2,2,67,35,55*,1,67,191.43,1,10,1,0
5,Chirag Desai,3,3,47,26,33*,2,47,180.77,2,4,0,0
6,Haardam Doshi,4,2,43,19,24,0,21.5,226.32,0,7,0,0
7,Rushil Khatri,3,3,40,30,21,0,13.33,133.33,1,5,0,0
8,Nisarg,4,4,35,24,17*,2,17.5,145.83,1,5,0,0
9,Rushabh,2,2,23,17,12*,2,-,135.29,2,2,0,0
10,Jinang,3,1,17,14,17,0,17,121.43,1,2,0,0
11,Rushi Patel,3,3,11,13,10,0,3.67,84.62,1,1,0,0
12,Devam Khatri,2,2,7,7,7,0,3.5,100,0,1,0,0
13,Rushang,3,1,6,3,6,0,6,200,0,1,0,0
14,Prince Jobanputra,3,1,6,5,6,0,6,120,0,1,0,0
15,Kavan,4,2,6,4,6*,1,6,150,0,1,0,0
16,Kunal Kaka,2,1,1,7,1,0,1,14.29,0,0,0,0
17,Jatan Agrawal,4,1,1,1,1*,1,-,100,0,0,0,0
18,Malhar Shah,2,2,0,2,0,0,0,0,0,0,0,0
19,Megh Shah,4,1,0,2,0,0,0,0,0,0,0,0
