PlayerName,Team Name,Batting Hand,Mat,Inns,Runs,Balls,Highest,N/O,Avg,SR,4s,6s,50s,100s
Nisarg,Sugam Spartans,RHB,4,4,111,45,56*,2,55.5,246.67,0,18,1,0
Haardam Doshi,Sugam Strikers,RHB,5,5,97,41,31,2,32.33,236.59,1,15,0,0
Harsh,Sugam Spartans,RHB,4,4,93,49,51,0,23.25,189.8,2,14,1,0
Jayrajsinh Dodiya,Sugam Strikers,RHB,5,5,75,53,39*,3,37.5,141.51,1,11,0,0
Dollar Shah,Sugam Spartans,RHB,4,4,73,34,36,0,18.25,214.71,0,12,0,0
Parth Gandhi,Sugam Scorchers,RHB,4,4,67,40,45,1,22.33,167.5,3,9,0,0
Yash Oza,Sugam Spartans,RHB,4,4,65,42,36*,2,32.5,154.76,0,10,0,0
Darsh Sondarwa,Sugam Scorchers,RHB,4,4,54,21,28*,2,27,257.14,1,8,0,0
Jinang,Sugam Stunners,RHB,3,3,35,21,12*,2,35,166.67,1,5,0,0
Prince Jobanputra,Sugam Scorchers,RHB,4,3,31,19,18,2,31,163.16,0,5,0,0
Vansh Agrawal,Sugam Stunners,LHB,3,2,29,27,29*,1,29,107.41,2,3,0,0
Megh Shah,Sugam Spartans,RHB,4,3,23,8,18*,2,23,287.5,0,3,0,0
Sagar Thakkar,Sugam Scorchers,LHB,4,3,23,14,19*,1,11.5,164.29,1,3,0,0
Yash Agrawal,Sugam Stunners,LHB,3,3,22,11,16*,1,11,200,1,3,0,0
Nayul Doshi,Sugam Strikers,RHB,5,2,12,13,12,1,12,92.31,0,2,0,0
Tarang Sachdev,Sugam Scorchers,RHB,4,3,6,8,6,0,2,75,0,1,0,0
Kirtan Patel,Sugam Strikers,RHB,5,3,5,20,5*,2,5,25,1,0,0,0
Rushabh,Sugam Stunners,LHB,3,2,4,9,4,0,2,44.44,1,0,0,0
Suresh Dave,Sugam Stunners,RHB,3,2,1,9,1,0,0.5,11.11,0,0,0,0
